id,track_name,size_bytes,price_in_zar,rating_count_total,rating_count_er,user_rating,user_rating_er,version,cont_rating,prime_genre,sup_deices.num,screenshorts_aail.num,lang.num,pp_lic
862303071,94%,121039872,0.00,13805,20,4.5,4.0,3.3.2,4,Games,37,4,9,1
1179840697,1600,261758976,0.00,110,68,3.5,3.5,1.10,4,Education,37,4,1,1
840919914,2048,15536128,0.00,157882,4710,4.5,4.5,2.0.4,4,Games,40,5,7,1
993435362, for Wikipedia,31600640,93.86,134,1,4.5,1.0,1.2.8,17,Reference,37,5,2,1
1019447011, LIE - Broadcasting App,84481024,0.00,937,32,3.5,3.5,2.2.1,4,Entertainment,37,0,8,1
974022309, OFFTIME,28471296,56.24,22,14,2.0,2.0,2.1.0,4,Health & Fitness,37,0,5,1
1160380201,�� Square it!,76039168,0.00,226,13,4.5,4.5,1.2.2,4,Games,38,5,1,1
883539642,! OH Fantastic Free Kick + Kick Wall Challenge,162557952,0.00,0,0,0.0,0.0,4.00,4,Games,40,5,2,1
1140586546,*Solitaire*,124961792,0.00,460,10,4.5,4.5,2.3.1,4,Games,37,5,1,1
662749248,. Calculator .,59232256,0.00,1525,352,4.5,5.0,3.15,4,Utilities,37,5,31,1
285994151,:) Sudoku +,6169600,56.24,11447,781,5.0,5.0,5.2.6,4,Games,40,5,1,1
977028266,�� Infinity Loop,53278720,0.00,1773,70,4.5,4.5,4.60,4,Games,37,3,11,1
587823548,1 Second Eeryday: ideo Diary,114876416,93.86,2433,10,3.5,4.5,1.60000.1,4,Photo & ideo,37,0,1,1
316227296,10 Pin Shuffle Pro Bowling,36647936,75.05,7315,138,4.0,4.5,2.01,4,Games,37,5,6,1
848218959,100 Balls,23143424,0.00,30967,845,4.5,4.0,4.20,4,Games,37,5,1,1
702871560,100 PICS Coloring - free color in book game app,269298688,0.00,1929,17,5.0,5.0,1.96,4,Games,37,5,1,1
652945710,100 PICS Quiz - guess the picture triia games,67786752,0.00,23160,44,4.5,4.5,2.50,4,Games,37,5,7,1
972013240,100! Block Puzzle - Color jigsaw 10x10 board game,26438656,0.00,18821,96,4.5,5.0,2.3.1,4,Games,37,4,1,1
1076802209,1000m Zombie Escape!,116008960,0.00,85,1,4.0,5.0,1.6.2,9,Games,37,5,8,1
911793120,1010!,131249152,0.00,53496,321,4.5,4.5,54.00,4,Games,38,5,1,1
665678340,12 Minute Athlete HIIT Workouts,24664064,56.24,362,1,4.5,5.0,4.60,4,Health & Fitness,37,0,1,1
295775656,12 Steps AA Companion - Alcoholics Anonymous,30367744,56.24,1583,2,3.5,4.5,2.5.9.2,12,Lifestyle,37,5,1,1
1128070374,1-Bit Rogue: A dungeon crawler RPG!,64439296,0.00,378,106,4.5,4.5,1.30,12,Games,38,3,1,1
308834491,20 Minutes.fr - l'actualité en continu,109616128,0.00,112,0,3.5,0.0,5.0.11,12,News,37,5,17,1
1056893074,20/20 Diet For Your Life,2013184,56.24,5,0,4.5,0.0,3.00,4,Health & Fitness,37,5,31,1
319204550,2016 U.S. Open Golf Championship,139545600,0.00,54192,32,4.0,2.0,8.0.263,4,Sports,37,0,1,1
653146633,2016 U.S. Open Golf Championship for iPad,146871296,0.00,146,24,2.5,1.5,4.0.127,4,Sports,24,4,1,1
327455869,2016 US Open Tennis Championships,77700096,0.00,37522,39,4.0,3.0,8.0.353,4,Sports,37,4,1,1
965226033,21 Days Metabolic Diet,13816832,56.24,0,0,0.0,0.0,1.2.2,4,Health & Fitness,40,1,5,1
1176148737,25 Days of Christmas: Holiday Adent Calendar 2016,94569472,0.00,38,11,4.5,4.5,1.20,4,Entertainment,38,5,14,1
483161617,270toWin,74190848,0.00,141,5,3.5,4.5,1.70,4,Education,24,4,1,1
993479067,"2Face Fitpack - Dein Trainingsprogramm mit persönlichem Ernährungsplan, Kalorienrechner und Trainingsplan",34414592,0.00,0,0,0.0,0.0,1.00,4,Health & Fitness,43,0,16,1
589220663,2XL Snocross,141524992,37.43,181,3,4.0,3.5,1.2.1,4,Games,37,5,5,1
310951782,2XL Supercross,270729216,93.86,6093,3,4.0,5.0,1.2.1,4,Games,37,5,7,1
388462078,2XL Supercross HD,270729216,93.86,1588,6,3.5,4.5,1.2.1,4,Games,37,5,7,1
1016279124,360 Degree,332068864,0.00,1460,7,4.5,4.5,3.4.0,4,Games,38,5,21,1
377342622,360 Panorama,7954432,37.43,10463,193,4.5,3.5,4.4.3,4,Photo & ideo,38,5,3,1
571801488,365Scores,129219584,0.00,9879,192,4.5,5.0,4.4.9,4,Sports,37,5,32,1
1116214450,3D GUNS MOD FOR MINECRAFT PC EDITION - GUN MODS POCKET GUIDE,19122176,37.43,268,268,4.5,4.5,1.00,4,Utilities,38,4,1,1
952561811,3D Maze Leel 100,111026176,0.00,22,6,4.5,4.5,2.10,4,Games,38,5,2,1
640999250,3D stereogram : Human,16596992,18.62,9,9,4.0,4.0,1.30,17,Entertainment,43,5,2,1
595098366,4 Bilder 1 Wort,118532096,0.00,2,2,2.5,2.5,7.3.3,12,Games,37,5,1,1
596006531,4 Images 1 Mot,130438144,0.00,78,6,4.0,4.0,7.3.3,4,Games,37,5,1,1
595558452,4 Pics 1 Word,131642368,0.00,80308,489,4.5,4.5,7.3.3,12,Games,37,5,1,1
1181904201,4x4 Dirt Track Trials Forest Driing Parking Sim,278811648,0.00,1441,1441,5.0,5.0,1.0.1,4,Games,37,5,1,1
1097895359,50 50 - The Addictie Slicing Game,245484544,0.00,2998,212,4.5,4.5,1.80,4,Games,37,5,1,1
341776037,5-0 Radio Pro Police Scanner (Extra Feeds),49594368,75.05,24553,2620,4.0,4.5,39.10,9,News,38,5,26,1
983489496,5E Spell Book,6500352,0.00,144,109,3.0,3.0,1.90,4,Games,40,2,1,1
439852091,5K Runner: 0 to 5K Run Trainer. Couch potato to 5K,84338688,93.86,10368,1051,5.0,5.0,7.30,4,Health & Fitness,37,5,31,1
917554930,5miles: Buy and Sell Used Stuff Locally,54063104,0.00,16105,3420,4.5,4.5,5.0.5,4,Shopping,37,4,8,1
1072395467,60 Seconds! Atomic Adenture,348491776,75.05,346,196,4.0,4.0,1.22,12,Games,40,5,8,1
657222343,7 Minute Workout Pro,76668928,18.62,303,40,4.5,5.0,3.00,4,Health & Fitness,38,5,26,1
589653414,"7-Eleen, Inc.",42894336,0.00,1356,73,2.5,2.5,2.3.6,4,Food & Drink,38,0,1,1
543186831,8 Ball Pool��,86776832,0.00,416736,19076,4.5,4.5,3.9.1,4,Games,38,5,10,1
892812659,80 Days,197683200,93.86,1732,81,4.5,4.5,1.25,12,Games,39,5,1,1
1076093996,80s Arcade Nes Games : Best Retro Collection,90843136,37.43,362,362,1.0,1.0,1.00,4,Entertainment,37,3,1,1
848651098,8-Bit RPG Creator,40919040,56.24,73,71,4.0,4.0,1.53,9,Games,43,5,1,1
891294826,8-BIT WATERSLIDE,98380800,0.00,158,13,4.5,3.5,1.09,12,Games,38,3,1,1
866617777,"8fit - Workouts, meal plans and personal trainer",101789696,0.00,8730,1108,5.0,5.0,2.8.12,4,Health & Fitness,37,4,4,1
406541444,8mm intage Camera,22227968,37.43,3040,14,4.5,4.0,2.5.1,4,Photo & ideo,37,0,4,1
490152130,A Brief History of the World,143462400,75.05,280,100,4.0,4.0,1.0.2,4,Games,43,5,1,1
1127440445,A Busy Day for Elmo: Sesame Street ideo Calls,235222016,18.62,3,3,2.5,2.5,1.00,4,Games,40,5,1,1
933921849,A Call From Santa! oicemail & Text Messages,64863232,0.00,3823,451,4.5,4.5,2.10,4,Entertainment,38,5,2,1
476508724,A Charlie Brown Christmas + iMessage Sticker Pack!,121874432,112.67,6420,36,4.5,5.0,4.00,4,Book,37,5,1,1
1015059175,A Color Story,39306240,0.00,2436,629,4.5,5.0,1.1.3,4,Photo & ideo,37,5,1,1
736683061,A Dark Room,26759168,18.62,29540,2749,4.5,5.0,2.33,12,Games,38,1,1,1
940314673,A Florist,1814528,18.62,0,0,0.0,0.0,1.3.3,4,Lifestyle,38,2,2,1
1040930654,A Good Snowman Is Hard To Build,94819328,93.86,270,51,4.5,4.5,1.0.9,4,Games,40,5,1,1
970389374,A high resolution music player - NePLAYER,21928960,281.96,27,3,4.0,3.5,2.1.6,4,Music,38,3,4,1
1093776653,A New Life,105390080,18.62,17,1,3.0,4.0,1.30,12,Games,40,5,1,1
977865620,A Noble Circle,79404032,18.62,1886,57,5.0,5.0,7.30,9,Games,37,3,1,1
1062642163,A Short Tale,450622464,75.05,83,61,5.0,5.0,1.0.2,4,Games,40,5,1,1
1046553860,A Tiny Game of Pong,2012160,37.43,99,36,4.0,4.0,1.10,4,Games,37,0,1,1
1021877189,a. - Physical Simulation Puzzle Game,49728512,0.00,2,2,5.0,5.0,1.0.8,4,Games,40,4,2,1
1051326718,A.BIG.T -- A Smart PN,41629696,187.91,17,1,4.0,5.0,3.10,4,Utilities,37,2,1,1
1076440502,A.P.E.X,74776576,0.00,96,96,4.5,4.5,1.00,4,Games,38,5,1,1
717628209,Legend Of Warrior,389505024,0.00,151,5,4.5,4.0,2.4.0,9,Games,40,5,1,1
1071235820,280blocker,1012736,37.43,0,0,0.0,0.0,2.30,4,Productiity,25,2,1,1
1101015200,Combo Warrior,576397312,0.00,0,0,0.0,0.0,2.2.0,9,Games,38,5,1,1
910513149,K歌,119202816,0.00,441,10,4.5,4.5,3.9.5,12,Entertainment,38,5,3,1
517166184,内涵段子 - 精选搞笑图片、视频,96586752,0.00,275,0,5.0,0.0,6.3.1,17,Entertainment,38,4,2,1
515651240,农行掌上银行,63531008,0.00,57,4,2.5,3.5,3.6.0,4,Finance,40,0,1,1
959451726,ごちうさアラーム～チノ編～,18604032,112.67,2,2,5.0,5.0,1.0.1,9,Entertainment,38,0,0,1
1061661355,ごちうさアラーム～リゼ編～,28688384,112.67,1,1,5.0,5.0,1.0.2,4,Entertainment,38,0,1,1
668515245,健康献�レシピ提案 オーガ�ック ��Ohganic,29184000,0.00,1,1,4.0,4.0,3.8.1,4,Food & Drink,38,0,1,1
